,Target,Source
0,I just had a breast biopsy for cancer. What are the most common types of breast cancer?,Query: I just had a breast biopsy for cancer. What are the most common types? |||| Context:  |||| Reformulation: 
1,"Once it breaks out, how likely is lobular carcinoma breast cancer to spread?","Query: Once it breaks out, how likely is it to spread? |||| Context: I just had a breast biopsy for cancer. What are the most common types of breast cancer? ||| Types Breast cancer can be: |||| Reformulation: "
2,How deadly is lobular carcinoma in situ?,"Query: How deadly is it? |||| Context: Once it breaks out, how likely is lobular carcinoma breast cancer to spread? ||| How is lobular carcinoma in situ diagnosed? ||| I just had a breast biopsy for cancer. What are the most common types of breast cancer? ||| Types Breast cancer can be: |||| Reformulation: "
3,"What? No, I want to know about the deadliness of lobular carcinoma in situ.","Query: What? No, I want to know about the deadliness of lobular carcinoma in situ. |||| Context: How deadly is lobular carcinoma in situ? |||  ||| Once it breaks out, how likely is lobular carcinoma breast cancer to spread? ||| How is lobular carcinoma in situ diagnosed? ||| I just had a breast biopsy for cancer. What are the most common types of breast cancer? |||  |||| Reformulation: "
4,"Wow, that's better than I thought. What are common treatments for lobular carcinoma in situ?","Query: Wow, that's better than I thought.  What are common treatments? |||| Context: What? No, I want to know about the deadliness of lobular carcinoma in situ. ||| It’s sometimes difficult to separate the two conditions and in this case it will be described as lobular neoplasia. ||| How deadly is lobular carcinoma in situ? |||  ||| Once it breaks out, how likely is lobular carcinoma breast cancer to spread? |||  ||| I just had a breast biopsy for cancer. What are the most common types of breast cancer? |||  |||| Reformulation: "
5,How does LCIS behave differently from PLCIS?,"Query: How does it behave differently from PLCIS? |||| Context: Wow, that's better than I thought. What are common treatments for lobular carcinoma in situ? ||| Treatment and follow-up There is no standard recommended treatment or follow-up for lobular neoplasia. ||| What? No, I want to know about the deadliness of lobular carcinoma in situ. ||| It’s sometimes difficult to separate the two conditions and in this case it will be described as lobular neoplasia. ||| How deadly is lobular carcinoma in situ? |||  ||| Once it breaks out, how likely is lobular carcinoma breast cancer to spread? |||  ||| I just had a breast biopsy for cancer. What are the most common types of breast cancer? |||  |||| Reformulation: "
6,What makes lobular cancer distinct?,"Query: What makes lobular cancer distinct? |||| Context: How does LCIS behave differently from PLCIS? ||| Wilson said she has “vigilantly monitored” her health with mammograms and MRIs after knowing she had an “underlying condition of LCIS, (lobular carcinoma in situ). ||| Wow, that's better than I thought. What are common treatments for lobular carcinoma in situ? ||| Treatment and follow-up There is no standard recommended treatment or follow-up for lobular neoplasia. ||| What? No, I want to know about the deadliness of lobular carcinoma in situ. |||  ||| How deadly is lobular carcinoma in situ? |||  ||| Once it breaks out, how likely is lobular carcinoma breast cancer to spread? |||  ||| I just had a breast biopsy for cancer. What are the most common types of breast cancer? |||  |||| Reformulation: "
7,"For the first stage, what are the alternatives to surgery for invasive lobular cancer?","Query: For the first stage, what are the alternatives to surgery? |||| Context: What makes lobular cancer distinct? ||| Invasive lobuluar cancer is a less common type of breast cancer than invasive ductal cancer. ||| How does LCIS behave differently from PLCIS? ||| Wilson said she has “vigilantly monitored” her health with mammograms and MRIs after knowing she had an “underlying condition of LCIS, (lobular carcinoma in situ). ||| Wow, that's better than I thought. What are common treatments for lobular carcinoma in situ? |||  ||| What? No, I want to know about the deadliness of lobular carcinoma in situ. |||  ||| How deadly is lobular carcinoma in situ? |||  ||| Once it breaks out, how likely is lobular carcinoma breast cancer to spread? |||  ||| I just had a breast biopsy for cancer. What are the most common types of breast cancer? |||  |||| Reformulation: "
8,"No, I meant - what are the alternatives to surgery for stage 1 invasive lobular cancer.","Query: No, I meant for lobular. |||| Context: For the first stage, what are the alternatives to surgery for invasive lobular cancer? ||| Overall, the 5-year survival rate of invasive ductal carcinoma was approximately 85% in 2003. ||| What makes lobular cancer distinct? ||| Invasive lobuluar cancer is a less common type of breast cancer than invasive ductal cancer. ||| How does LCIS behave differently from PLCIS? |||  ||| Wow, that's better than I thought. What are common treatments for lobular carcinoma in situ? |||  ||| What? No, I want to know about the deadliness of lobular carcinoma in situ. |||  ||| How deadly is lobular carcinoma in situ? |||  ||| Once it breaks out, how likely is lobular carcinoma breast cancer to spread? |||  ||| I just had a breast biopsy for cancer. What are the most common types of breast cancer? |||  |||| Reformulation: "
9,Does freezing tumors work as an alternative to surgery for stage 1 invasive lobular cancer?,"Query: Does freezing work? |||| Context: No, I meant - what are the alternatives to surgery for stage 1 invasive lobular cancer. ||| Similar to stage 0, breast cancer at this stage is very treatable and survivable. ||| For the first stage, what are the alternatives to surgery for invasive lobular cancer? ||| Overall, the 5-year survival rate of invasive ductal carcinoma was approximately 85% in 2003. ||| What makes lobular cancer distinct? |||  ||| How does LCIS behave differently from PLCIS? |||  ||| Wow, that's better than I thought. What are common treatments for lobular carcinoma in situ? |||  ||| What? No, I want to know about the deadliness of lobular carcinoma in situ. |||  ||| How deadly is lobular carcinoma in situ? |||  ||| Once it breaks out, how likely is lobular carcinoma breast cancer to spread? |||  ||| I just had a breast biopsy for cancer. What are the most common types of breast cancer? |||  |||| Reformulation: "
0,How do I build a cheap driveway?,Query: How do I build a cheap driveway? |||| Context:  |||| Reformulation: 
1,Which is cheaper way to build a driveway: concrete or asphalt?,"Query: Which is cheaper: concrete or asphalt? |||| Context: How do I build a cheap driveway? ||| Types of Driveways – Gravel, asphalt, brick &amp; concrete driveway Gravel Driveways |||| Reformulation: "
2,What type of de-icing product can damage concrete driveways?,"Query: Really?  What type of product? |||| Context: Which is cheaper way to build a driveway: concrete or asphalt? ||| When the time comes to install a new driveway, the biggest decision is whether to use concrete or asphalt. ||| How do I build a cheap driveway? ||| Types of Driveways – Gravel, asphalt, brick &amp; concrete driveway Gravel Driveways |||| Reformulation: "
